Merriana Henriq,1,Cactus Flower
'Cousin Brucie' Morrow,1,Sgt. Pepper's Lonely Hearts Club Band
Jerry Maren,1,Americathon
Melvin Van Peebles,1,Sweet Sweetback's Baadasssss Song
Sandra Wells,1,Funny Girl
Robert Locke Lorraine,1,Funny Girl
Jack Kassabian,1,Funny Girl
Bill Vint,1,Summertree
Vito Scotti,1,Cactus Flower
Elvin Bishop,1,Sgt. Pepper's Lonely Hearts Club Band
Ricardo Marquez,1,Absence of Malice
Donald Bradburn,1,Funny Girl
Stephen Blood,1,The Gumball Rally
Robert Patten,1,The Love Machine
